algo,OSCNN,CTN_V3,nne,MultiRocket,ConvTime,CTN_NT,fawaz
Wine,0.4444444444444444,0.5555555522441864,0.6666666567325592,0.3888888888888888,0.5740740597248077,0.4259259104728699,0.5
WordSynonyms,0.5329153605015674,0.5517241358757019,0.5626959204673767,0.6927899686520376,0.592476487159729,0.5611285269260406,0.6802507936954498
Worms,0.3376623376623377,0.37662339210510254,0.37662339210510254,0.2727272727272727,0.298701286315918,0.3896104097366333,0.350649356842041
WormsTwoClass,0.2467532467532467,0.22077924013137806,0.2337662577629089,0.2467532467532467,0.37662339210510254,0.2597402334213257,0.2467532753944397
SyntheticControl,0.006666666666666711,0.07666665315628053,0.009999990463256836,0.030000000000000027,0.01333332061767578,0.006666660308837891,0.06999999284744263
UWaveGestureLibraryX,0.2805695142378559,0.3068118095397949,0.30625349283218384,0.2065884980457845,0.3176996111869812,0.3216080665588379,0.3997766375541687
UWaveGestureLibraryY,0.4374651032942489,0.3911222815513611,0.464265763759613,0.35203796761585704,0.4154103994369507,0.4070351719856262,0.5234505832195282
UWaveGestureLibraryZ,0.3849804578447794,0.3358458876609802,0.391401469707489,0.3587381351200447,0.33863765001297,0.3358458876609802,0.409547746181488
Wafer,0.02141466580142759,0.016385436058044434,0.02530825138092041,0.0194678780012979,0.0288773775100708,0.02839064598083496,0.03569108247756958
Yoga,0.326,0.3426666855812073,0.312333345413208,0.4166666666666666,0.3723333477973938,0.3606666922569275,0.32833331823349
ECG200,0.24,0.18000000000000005,0.25,0.18000000000000005,0.30000001192092896,0.25999999046325684,0.2799999713897705
FiftyWords_rank,2.0,4.0,5.0,7.0,1.0,3.0,6.0
Adiac_rank,5.0,2.0,4.0,3.0,7.0,6.0,1.0
ArrowHead_rank,5.0,3.0,6.0,1.0,2.0,7.0,4.0
Beef_rank,1.0,3.0,2.0,4.0,5.0,7.0,5.0
BeetleFly_rank,5.0,1.0,6.0,7.0,3.0,3.0,1.0
BirdChicken_rank,2.0,3.0,1.0,5.0,6.0,6.0,3.0
CBF_rank,2.0,4.0,1.0,7.0,6.0,5.0,3.0
Car_rank,1.0,5.0,2.0,3.0,4.0,7.0,6.0
ChlorineConcentration_rank,7.0,5.0,2.0,1.0,6.0,3.0,4.0
CinCECGtorso_rank,2.0,3.0,4.0,1.0,5.0,7.0,6.0
Coffee_rank,6.0,3.0,7.0,2.0,1.0,3.0,3.0
Computers_rank,7.0,1.0,5.0,6.0,4.0,2.0,3.0
CricketX_rank,3.0,6.0,6.0,2.0,4.0,5.0,1.0
CricketY_rank,4.0,7.0,5.0,3.0,2.0,1.0,5.0
CricketZ_rank,1.0,5.0,6.0,4.0,2.0,3.0,7.0
DiatomSizeReduction_rank,1.0,4.0,2.0,3.0,7.0,5.0,6.0
DistalPhalanxOutlineAgeGroup_rank,1.0,3.0,4.0,7.0,6.0,4.0,2.0
DistalPhalanxOutlineCorrect_rank,2.0,3.0,1.0,7.0,3.0,3.0,6.0
DistalPhalanxTW_rank,2.0,4.0,7.0,6.0,3.0,4.0,1.0
ECG5000_rank,2.0,6.0,3.0,1.0,5.0,7.0,4.0
ECGFiveDays_rank,7.0,1.0,5.0,6.0,3.0,2.0,4.0
Earthquakes_rank,7.0,1.0,6.0,3.0,1.0,4.0,4.0
ElectricDevices_rank,7.0,3.0,6.0,2.0,5.0,4.0,1.0
Fish_rank,1.0,3.0,2.0,4.0,6.0,7.0,5.0
FaceAll_rank,1.0,7.0,6.0,3.0,2.0,5.0,4.0
FaceFour_rank,7.0,4.0,1.0,2.0,6.0,2.0,5.0
FacesUCR_rank,1.0,4.0,3.0,7.0,6.0,2.0,5.0
FordA_rank,4.0,3.0,6.0,5.0,2.0,1.0,7.0
FordB_rank,3.0,6.0,5.0,2.0,1.0,4.0,7.0
GunPoint_rank,6.0,1.0,7.0,3.0,4.0,2.0,5.0
Ham_rank,6.0,1.0,3.0,2.0,4.0,4.0,7.0
HandOutlines_rank,5.0,1.0,3.0,2.0,7.0,6.0,4.0
Haptics_rank,1.0,5.0,4.0,2.0,7.0,3.0,6.0
Herring_rank,2.0,4.0,4.0,1.0,6.0,3.0,7.0
InlineSkate_rank,7.0,5.0,3.0,2.0,6.0,1.0,3.0
InsectWingbeatSound_rank,5.0,1.0,6.0,4.0,2.0,3.0,7.0
ItalyPowerDemand_rank,7.0,2.0,4.0,5.0,1.0,3.0,6.0
LargeKitchenAppliances_rank,1.0,6.0,2.0,4.0,7.0,3.0,5.0
Lightning2_rank,6.0,4.0,1.0,7.0,3.0,1.0,5.0
Lightning7_rank,1.0,3.0,5.0,6.0,2.0,7.0,3.0
Mallat_rank,7.0,1.0,5.0,2.0,3.0,6.0,4.0
Meat_rank,5.0,1.0,7.0,3.0,1.0,4.0,6.0
MedicalImages_rank,2.0,3.0,5.0,7.0,4.0,6.0,1.0
MiddlePhalanxOutlineAgeGroup_rank,2.0,7.0,3.0,1.0,5.0,6.0,4.0
MiddlePhalanxOutlineCorrect_rank,7.0,2.0,4.0,3.0,5.0,6.0,1.0
MiddlePhalanxTW_rank,4.0,6.0,3.0,1.0,6.0,5.0,2.0
MoteStrain_rank,2.0,3.0,1.0,7.0,6.0,5.0,4.0
NonInvasiveFetalECGThorax1_rank,2.0,6.0,7.0,1.0,4.0,5.0,3.0
NonInvasiveFetalECGThorax2_rank,2.0,7.0,3.0,1.0,4.0,6.0,5.0
OSULeaf_rank,5.0,4.0,3.0,1.0,6.0,7.0,2.0
OliveOil_rank,7.0,6.0,2.0,1.0,5.0,4.0,3.0
PhalangesOutlinesCorrect_rank,7.0,2.0,6.0,1.0,4.0,5.0,3.0
Phoneme_rank,5.0,3.0,2.0,4.0,7.0,6.0,1.0
